FOS,Friction_Angle,Cohesion,Slope_Angle,Rainfall_Intensity,Rainfall_Duration
0.808,25,5,45,60,24
1.287,25,10,45,10,0
1.284,25,10,45,10,1
1.281,25,10,45,10,2
1.279,25,10,45,10,3
1.277,25,10,45,10,4
1.272,25,10,45,10,8
1.265,25,10,45,10,12
1.259,25,10,45,10,16
1.254,25,10,45,10,20
1.248,25,10,45,10,24
1.287,25,10,45,30,0
1.279,25,10,45,30,1
1.273,25,10,45,30,2
1.269,25,10,45,30,3
1.263,25,10,45,30,4
1.242,25,10,45,30,8
1.218,25,10,45,30,12
1.199,25,10,45,30,16
1.186,25,10,45,30,20
1.176,25,10,45,30,24
1.287,25,10,45,60,0
1.273,25,10,45,60,1
1.261,25,10,45,60,2
1.247,25,10,45,60,3
1.234,25,10,45,60,4
1.181,25,10,45,60,8
